Export Time, Export Time Seconds, Last Cycle Count
2022-Mar-18-14:17:43,1647631063,21051

IntID,WARNID,Warn Text,Source,Type,Class,Subclass,Annotation,Reboot Count,Reinit Count,Retry Count,Clear Count,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
1,9876,WARNING9876-Recipe Load of System Type found 10 Items with Validation Criteria Range and Value  Total validation errors; go to Recipe detail to view,Machine:System,0,Assist,Other,0,0,0,0,1,10:51:31 03-Feb-2022,10:55:29 03-Feb-2022,00:03:58,168,25.0,Productive,Uninit,1,1,0,0,0,No User Logged In,MTX-04,FSAUS
2,9876,WARNING9876-Recipe Load of Test Type found 4 Items not loaded since not found in Validation C Total validation errors; go to Recipe detail to view,Machine:Test,0,Assist,Other,0,0,0,0,1,10:51:34 03-Feb-2022,10:54:50 03-Feb-2022,00:03:16,165,25.0,Productive,Uninit,1,1,0,0,0,No User Logged In,MTX-04,FSAUS
3,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Reboot,0,1,0,0,0,10:52:48 03-Feb-2022,11:15:26 03-Feb-2022,00:22:38,91,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-04,FSAUS
4,9876,WARNING9876-Recipe Load of System Type found 14 Items with Validation Criteria Range and Value  Total validation errors; go to Recipe detail to view,Machine:System,0,Assist,Other,0,0,0,0,1,10:58:58 03-Feb-2022,11:00:10 03-Feb-2022,00:01:12,62,25.0,Productive,Initializing,1,1,0,0,0,5,MTX-04,FSAUS
5,9876,WARNING9876-Recipe Load of Kit Type found 1 Items with Validation Criteria Range and Value p Total validation errors; go to Recipe detail to view,Machine:Kit,0,0,Other,0,0,0,0,0,11:01:47 03-Feb-2022,11:05:05 03-Feb-2022,00:03:18,602,25.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
6,13557,WARNING13557-Sitemap configuration has changed! Please query 'Status?' to reconfirm!,SC1_Handler:Ts_Tif,0,0,Reboot,0,1,0,0,0,11:07:25 03-Feb-2022,11:15:26 03-Feb-2022,00:08:01,264,25.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
7,9876,WARNING9876-Recipe Load of Kit Type found 1 Items with Validation Criteria Range and Value p Total validation errors; go to Recipe detail to view,Machine:Kit,0,0,Reboot,0,1,0,0,0,11:07:26 03-Feb-2022,11:15:26 03-Feb-2022,00:08:00,263,25.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
8,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,11:16:13 03-Feb-2022,11:21:02 03-Feb-2022,00:04:49,152,25.0,Productive,Uninit,1,1,0,0,0,NA,MTX-04,FSAUS
9,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,11:32:21 03-Feb-2022,11:32:44 03-Feb-2022,00:00:23,470,150.0,Productive,Running,1,1,0,0,0,NA,MTX-04,FSAUS
10,6451,WARNING6451-Partial Input Tray Detected at Input TPS1; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,13:00:53 03-Feb-2022,13:01:33 03-Feb-2022,00:00:40,36,150.0,Productive,Running,1,1,0,0,0,5,MTX-04,FSAUS
11,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,16:05:08 03-Feb-2022,16:05:15 03-Feb-2022,00:00:07,9,25.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
12,6451,WARNING6451-Partial Input Tray Detected at Input TPS1; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,16:32:00 03-Feb-2022,16:32:12 03-Feb-2022,00:00:12,293,25.0,Productive,Running,1,1,0,0,0,5,MTX-04,FSAUS
13,4389,WARNING4389-Internal regulated LN2 pressure was reported by the PPC as out of range.  Please verify regulated LN2 pressure displayed on the PPC is within expected operating range.  If PPC pressure display is out of range; or no display is present; check facility LN2 inlet pressure or troubleshoot handler cold gas control subsystem fault as required.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,01:13:16 04-Feb-2022,01:13:51 04-Feb-2022,00:00:35,8449,25.0,Productive,Running,1,1,0,0,0,NA,MTX-04,FSAUS
14,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,03:33:47 04-Feb-2022,03:33:54 04-Feb-2022,00:00:07,18,-45.0,Productive,Running,1,1,0,0,0,NA,MTX-04,FSAUS
15,4437,WARNING4437-Zone Left_Desoak_Shuttle is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:34:05 04-Feb-2022,03:34:11 04-Feb-2022,00:00:06,653,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
16,4438,WARNING4438-Zone Right_Desoak_Shuttle is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:34:05 04-Feb-2022,03:34:07 04-Feb-2022,00:00:02,653,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
17,4311,WARNING4311-Right_TS_4A  experiencing invalid RTD data read.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:44:58 04-Feb-2022,03:45:03 04-Feb-2022,00:00:05,90,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
18,4309,WARNING4309-Right_TS_2A  experiencing invalid RTD data read.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:44:58 04-Feb-2022,03:45:02 04-Feb-2022,00:00:04,90,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
19,4318,WARNING4318-Right_TS_3B  experiencing invalid RTD data read.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:44:59 04-Feb-2022,03:45:00 04-Feb-2022,00:00:01,89,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
20,4317,WARNING4317-Right_TS_2B  experiencing invalid RTD data read.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:44:59 04-Feb-2022,03:45:03 04-Feb-2022,00:00:04,89,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
21,4319,WARNING4319-Right_TS_4B  experiencing invalid RTD data read.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:44:59 04-Feb-2022,03:45:00 04-Feb-2022,00:00:01,89,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
22,4325,WARNING4325-Right_TS_2C  experiencing invalid RTD data read.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:45:00 04-Feb-2022,03:45:00 04-Feb-2022,00:00:00,88,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
23,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,03:45:02 04-Feb-2022,03:45:06 04-Feb-2022,00:00:04,86,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
24,4307,WARNING4307-Left_TS_4A  has received a board failure notification.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:46:27 04-Feb-2022,03:46:33 04-Feb-2022,00:00:06,341,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
25,4304,WARNING4304-Left_TS_1A  experiencing invalid RTD data read.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:46:28 04-Feb-2022,03:46:34 04-Feb-2022,00:00:06,340,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
26,4314,WARNING4314-Left_TS_3B  experiencing invalid RTD data read.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:46:28 04-Feb-2022,03:46:32 04-Feb-2022,00:00:04,340,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
27,4305,WARNING4305-Left_TS_2A  experiencing invalid RTD data read.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:46:29 04-Feb-2022,03:46:36 04-Feb-2022,00:00:07,339,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
28,4315,WARNING4315-Left_TS_4B  has received a board failure notification.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:46:29 04-Feb-2022,03:46:31 04-Feb-2022,00:00:02,339,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
29,4312,WARNING4312-Left_TS_1B  experiencing invalid RTD data read.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:46:29 04-Feb-2022,03:46:30 04-Feb-2022,00:00:01,339,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
30,4323,WARNING4323-Left_TS_4C  has received a board failure notification.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:46:30 04-Feb-2022,03:46:30 04-Feb-2022,00:00:00,338,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
31,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,03:46:36 04-Feb-2022,03:46:38 04-Feb-2022,00:00:02,332,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
32,4308,WARNING4308-Right_TS_1A  has received a board failure notification.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:52:08 04-Feb-2022,03:52:14 04-Feb-2022,00:00:06,204,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
33,4309,WARNING4309-Right_TS_2A  has received a board failure notification.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:52:08 04-Feb-2022,03:52:12 04-Feb-2022,00:00:04,204,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
34,4326,WARNING4326-Right_TS_3C  experiencing invalid RTD data read.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:52:09 04-Feb-2022,03:52:10 04-Feb-2022,00:00:01,203,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
35,4316,WARNING4316-Right_TS_1B  has received a board failure notification.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:52:10 04-Feb-2022,03:52:12 04-Feb-2022,00:00:02,202,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
36,4317,WARNING4317-Right_TS_2B  has received a board failure notification.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:52:10 04-Feb-2022,03:52:11 04-Feb-2022,00:00:01,202,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
37,4306,WARNING4306-Left_TS_3A  reporting invalid temperature data.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,03:55:32 04-Feb-2022,03:55:32 04-Feb-2022,00:00:00,290,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
38,4333,WARNING4333-Right_TS_2D  has received a board failure notification.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,04:00:22 04-Feb-2022,04:00:29 04-Feb-2022,00:00:07,591,-45.0,Productive,Initializing,1,1,0,0,0,NA,MTX-04,FSAUS
